SCHOOLNAME,STATE,BOARD
Guru Nanak Modern School Bithoor Road Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Guru Nanak Public School Lajpat Nagar Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Guru Tegh Bahadur Public School 227 West End Road Meerut Cantt - Uttar Pradesh,UTTARPRADESH,CBSE
Guru Tegh Bahadur Public School Grant Road Saharanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Gyan Deep Public School Shanti Nagar Firozabad - Uttar Pradesh,UTTARPRADESH,CBSE
Gyan Peethika Jagdishpur Ballia - Uttar Pradesh,UTTARPRADESH,CBSE
Gyansthali Public School Mahoba Hamirpur - Uttar Pradesh,UTTARPRADESH,CBSE
H A L School H A L Post Office Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
H A L School Korwa Project Sultanpur - Uttar Pradesh,UTTARPRADESH,CBSE
H A L Vidyalaya H A L Town Ship Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Harrow School Rampur Bagh Bareilly - Uttar Pradesh,UTTARPRADESH,CBSE
Holy Angel's Convent School Opposite-bhopa Bus Stand Muzaffarnagar - Uttar Pradesh,UTTARPRADESH,CBSE
Holy Public School Sikandra Road Agra - Uttar Pradesh,UTTARPRADESH,CBSE
Indraprastha Public School Morna Muzaffar Nagar - Uttar Pradesh,UTTARPRADESH,CBSE
Ingraham Institute Eng-med School G T Road Banna Devi Aligarh - Uttar Pradesh,UTTARPRADESH,CBSE
Ingraham Institute English School Kasimpur Aligarh - Uttar Pradesh,UTTARPRADESH,CBSE
J P Public School Dhanura Road Bijnor - Uttar Pradesh,UTTARPRADESH,CBSE
J P Vidya Mandir Anoopshahr Bulandshahr - Uttar Pradesh,UTTARPRADESH,CBSE
J.k.g. Senior Secondary School D-block Vijay Nagar Sector-9 Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
Jagat Taran Golden Jubilee School 32b Hamilton Road Allahabad - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Civil Lines Etawah - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Jail Road Khairabad - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Jiyanpur (azamgarh) - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Kirtanpur Basantpur Bahraich - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Mahuar Mau - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Old Hostel Etah - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Peppe Ganj Jangle Agahi Agahi Ganj Gorakhpur - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodaya Vidyalaya Rohilla Farrukhabad Maugate - Uttar Pradesh,UTTARPRADESH,CBSE
Jawahar Navodha Vidyalaya Sinhachawar Ballia - Uttar Pradesh,UTTARPRADESH,CBSE
Jingle Bell Academy Vishnupuri Po Faizabad - Uttar Pradesh,UTTARPRADESH,CBSE
Jugal Devi Saraswati Vidya Mandir Varishtha Madhyamik Vidyalaya Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
K C M School Gandhi (meston) Park Civil Lines Moradabad - Uttar Pradesh,UTTARPRADESH,CBSE
K D B Public School Old Kavi Nagar Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
K V Public School Kishan Vihar Parikshit Garh Meerut - Uttar Pradesh,UTTARPRADESH,CBSE
Kasturba School D-2/t1 Arampur Eatate Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya A F S Manauri Allahabad - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Chopan Sonbhdra - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Circular Road Muzaffarnagar - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Eye Hospital Road Sitapur - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya I T I Road Aligarh - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Ivri Izat Nagar Bareilly - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya K.v Rly Campus Gonda Bargaon - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Krishi Utpadan Mandi Samiti Campus Balia - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Near Vikas Bhawan Barabanki - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya No 1 Air Force Station Agra - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya No 2 Grand Parade Road Agra Cantt - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya No 2 Ordnance Clothing Factory Shahjhan Pur - Uttar Pradesh,UTTARPRADESH,CBSE
Kendriya Vidyalaya Punjab Lines Meerut Cantt - Uttar Pradesh,UTTARPRADESH,CBSE
Khalsa Montessori School Gurudwara Lal Talab Bulandshar - Uttar Pradesh,UTTARPRADESH,CBSE
Kids Corner Happy High School Firozabad Agra Gate - Uttar Pradesh,UTTARPRADESH,CBSE
Kulpahar Christian School Kulpahar Hamirpur Distt - Uttar Pradesh,UTTARPRADESH,CBSE
Kunwar Convent School Baleur Sahatwar Ballia - Uttar Pradesh,UTTARPRADESH,CBSE
L N Public School Garh Road Hapur - Uttar Pradesh,UTTARPRADESH,CBSE
Lions Bal Vidya Mandir Factory Road Pilibhit - Uttar Pradesh,UTTARPRADESH,CBSE
Lions School Lal Diggi West Road Mirzapur - Uttar Pradesh,UTTARPRADESH,CBSE
Little Angels High School Sector-8 Indira Nagar Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Little Flower Children School Nizamuddinpura Mau - Uttar Pradesh,UTTARPRADESH,CBSE
Little Flower House Plot No 442 Kakarmatta Varanasi - Uttar Pradesh,UTTARPRADESH,CBSE
Lord Mahavira Academy Chilkana Road Saharanpur - Uttar Pradesh,UTTARPRADESH,CBSE
M G Public School Circular Road Muzaffarnagar - Uttar Pradesh,UTTARPRADESH,CBSE
Ma Durgaji Vidyalaya Siddiquepur Jaunpur - Uttar Pradesh,UTTARPRADESH,CBSE
Maharishi Patanjali Vidya Mandir 2 Stanley Road Telierganj Allabhabad - Uttar Pradesh,UTTARPRADESH,CBSE
Maharishi Vidya Mandir Agra Road Aligarh - Uttar Pradesh,UTTARPRADESH,CBSE
Maharishi Vidya Mandir Lakhimpur Road Sitapur - Uttar Pradesh,UTTARPRADESH,CBSE
Maharishi Vidya Mandir Sitapur Road Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Mahatma Hansraj Modern School Shivpuri Road Jhansi - Uttar Pradesh,UTTARPRADESH,CBSE
"Manas Sthali Near Faridpur Town N.h.24 ,bareilly - Uttar Pradesh",UTTARPRADESH,CBSE
Mariampur Senior Secondary School Shastri Nagar Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Mary Angel's Public School F1 Sector 15 Noida - Uttar Pradesh,UTTARPRADESH,CBSE
Meerut Public School 223 West End Road Meerut Cantt - Uttar Pradesh,UTTARPRADESH,CBSE
Modern Public School Delhi Road Moradabad - Uttar Pradesh,UTTARPRADESH,CBSE
Modern School S-1 Sector Xi Noida - Uttar Pradesh,UTTARPRADESH,CBSE
Motherland Public School Near Tehsil Muzaffarnagar - Uttar Pradesh,UTTARPRADESH,CBSE
N E Rly Senior Secondary School Kawabagh Colony Gorakhpur - Uttar Pradesh,UTTARPRADESH,CBSE
Naggaji Saraswati Vidya Mandir Maldepur Balia - Uttar Pradesh,UTTARPRADESH,CBSE
Naval's National Academy Rapti Nagar Gorakhpur - Uttar Pradesh,UTTARPRADESH,CBSE
Navayuga Radiance Bilingual Senior Secondary School Rajendra Nagar Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Nehru Public School E Block Shastri Nagar Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
New St Stephen's Public School Kalindi Vihar Agra - Uttar Pradesh,UTTARPRADESH,CBSE
"New Way School 78-b ,nirala Nagar Lucknow - Uttar Pradesh",UTTARPRADESH,CBSE
Nirmala Convent High School Post Renukoot Sonebhadra Distt - Uttar Pradesh,UTTARPRADESH,CBSE
Nirmala Convent School Shiv Puri Bulandshahr - Uttar Pradesh,UTTARPRADESH,CBSE
Ordnance Equipment Factory H Secondary School Larmour Bagh Kanpur Cantt - Uttar Pradesh,UTTARPRADESH,CBSE
Our Lady Of Fatima Higher Secondary School Ramghat Road Aligarh - Uttar Pradesh,UTTARPRADESH,CBSE
P D Dhanuka Saraswati Vidya Mandir Vrindaban Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Police Modern School Vi Bn Pac Campus Meerut - Uttar Pradesh,UTTARPRADESH,CBSE
Police Modern School Xi Bn Pac Sitapur - Uttar Pradesh,UTTARPRADESH,CBSE
Porter Burchard Methodist English Medium School Vrindaban Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Prabhat Public School K Block Sarvodaya Nagar Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Puranchandra Vidyaniketan Hemant Vihar Barra Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
R R K School Ashiana Phase Ii Moradabad - Uttar Pradesh,UTTARPRADESH,CBSE
R S D Academy Public School Ram Ganga Vihar Muradabad - Uttar Pradesh,UTTARPRADESH,CBSE
R.r.k.school Sita Ashram Road Moradabad - Uttar Pradesh,UTTARPRADESH,CBSE
Radha Madhav Public School Bisalpur Road University Bareilly - Uttar Pradesh,UTTARPRADESH,CBSE
Radient Central Children Academy Jallalpur Amedkar Nagar - Uttar Pradesh,UTTARPRADESH,CBSE
Raghukul Vidya Peeth Civil Lines Gonda - Uttar Pradesh,UTTARPRADESH,CBSE
Rainbow School Delhi Road Saharanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Rajbala Spring Dale Academy Railway Road Bulandshar - Uttar Pradesh,UTTARPRADESH,CBSE
Rajghat Besant School Rajghat Fort Varanasi - Uttar Pradesh,UTTARPRADESH,CBSE
Ram Kishan Institute Sector 23 Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
Ramaeesh International School 3 Institutional Area Greater Noida - Uttar Pradesh,UTTARPRADESH,CBSE
Ramanlal Sharawala Public School Maholi Road Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Rani Laxmi Bai Memorial School Indira Nagar Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Rani Laxmi Bai Memorial School Vikas Nagar Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Rattan Lal Phool Katori Devi Saraswati Vidya Mandir Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Red Rose School Rajaji Puram Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Red Rose School Vinay Khand 3 Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Rockwood Senior Secondary School B - 67 Sector - 33 Noida - Uttar Pradesh,UTTARPRADESH,CBSE
Ryan International School D-46 Sector-39 Noida - Uttar Pradesh,UTTARPRADESH,CBSE
S D Public School Patel Nagar Muzaffar Nagar - Uttar Pradesh,UTTARPRADESH,CBSE
S G Public School Kali Mandir Road Mughal Sarai - Uttar Pradesh,UTTARPRADESH,CBSE
S J S Public School Kasganj Ettah - Uttar Pradesh,UTTARPRADESH,CBSE
S P M Dav Public School Gangoh Saharanpur - Uttar Pradesh,UTTARPRADESH,CBSE
S S Kanhaiya Lal Aggarwal Mem Bal Vidya Mandir Jalaun - Uttar Pradesh,UTTARPRADESH,CBSE
S S Public School Babatpur Varanasi - Uttar Pradesh,UTTARPRADESH,CBSE
Sacred Heart Convent School Obra P O Sonebhadra Distt - Uttar Pradesh,UTTARPRADESH,CBSE
Sanskar The Co Educational School B-14 B S Road Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
Sant Pathik Vidyalaya Pashupati Nagar Bahraich - Uttar Pradesh,UTTARPRADESH,CBSE
Sarang Convent School Seohara Bijnor - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Bal Mandir Modi Nagar Marg Hapur - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Senior Secondary Vidya Mandir Deoria Khas Deoria - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Shishu Mandir Higher Secondary School Suryakund Gorakhpur - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Vidya Mandir Higher Secondary School Sector-q Aliganj Lucknow - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Vidya Mandir Kamla Nagar Agra - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Vidya Mandir Maabhai Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Vidya Mandir Uchchtar Madhyamik Vidyalaya Sultanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Saraswati Vihar Mavi Kalan Saharanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Sarti Devi Raja Ram Public School Railway Road Muzaffarnagar - Uttar Pradesh,UTTARPRADESH,CBSE
Schiller Institute R-6/gmp Raj Nagar Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
Sewa Bharti Sewa Dham Vidya Mandir Bahota Hazipur Ghaziabad - Uttar Pradesh,UTTARPRADESH,CBSE
Sh Mata Prashad Kalawati Devi Shikshan Sansthan Firozabad - Uttar Pradesh,UTTARPRADESH,CBSE
Shiwalik Cambridge College Awas Vikas Colony Agra - Uttar Pradesh,UTTARPRADESH,CBSE
Shri Gulab Rai Montessori School Nainital Road Bareilly - Uttar Pradesh,UTTARPRADESH,CBSE
Shriji Baba Saraswati Vidya Mandir Goverdhan Marg Bakalpur Mathura - Uttar Pradesh,UTTARPRADESH,CBSE
Simpkins School Maruti Estate Bodla Road Agra - Uttar Pradesh,UTTARPRADESH,CBSE
Sir Padampat Singhania Education Centre Kamla Nagar Kanpur - Uttar Pradesh,UTTARPRADESH,CBSE
Smt Ramrati Devi Senior Secondary School Lalitpur Mau - Uttar Pradesh,UTTARPRADESH,CBSE
Abhinav Bharati High School 11 Pretoria Street Calcutta - West Bengal,WEST BENGAL,CBSE
Air Force School Bagdogra Darjeeling - West Bengal,WEST BENGAL,CBSE
"Air Force School No 16 Wing A F Hasimara , C/o 99 A P O - West Bengal",WEST BENGAL,CBSE
Apeejay School 115 Park Street Calcutta - West Bengal,WEST BENGAL,CBSE
Apeejay School 115 Park Street Calcutta - West Bengal,WEST BENGAL,CBSE
Army Public School Ballygung Calcutta - West Bengal,WEST BENGAL,CBSE
Army Public School Ballygung Calcutta - West Bengal,WEST BENGAL,CBSE
Army School Bagrakot Post Bagrakot Jalpaiguri - West Bengal,WEST BENGAL,CBSE
Army School Kata Pahar Darjeeling - West Bengal,WEST BENGAL,CBSE
Army School Khaprail Darjeeling - West Bengal,WEST BENGAL,CBSE
Army School Post Barrackpore North Gate 24 Paragna - West Bengal,WEST BENGAL,CBSE
Army School Post Bengdubi Darjeeling - West Bengal,WEST BENGAL,CBSE
Ashok Hall Girls Higher Secondary School 5 A Sarat Bose Road Calcutta - West Bengal,WEST BENGAL,CBSE
Ashok Hall Girls Higher Secondary School 5 A Sarat Bose Road Calcutta - West Bengal,WEST BENGAL,CBSE
Auxilium Convent School New Chumta Darjeeling - West Bengal,WEST BENGAL,CBSE
B D Memorial Institute Pratapgarh Po Kolkata - West Bengal,WEST BENGAL,CBSE
B.s.f. Residential School Kadamtala Darjeeling - West Bengal,WEST BENGAL,CBSE
Bethany Mission School Post Office Rupahar Raiganj Uttar Dinajpur - West Bengal,WEST BENGAL,CBSE
Bhavan's Gangbux Kanoria Vidyamandir Fa/iii Salt Lake Calcutta - West Bengal,WEST BENGAL,CBSE
Bhavan's Gangbux Kanoria Vidyamandir Fa/iii Salt Lake Calcutta - West Bengal,WEST BENGAL,CBSE
Bholananda National Vidyalaya 55-56 Barrack Road 24 Parganas (north) - West Bengal,WEST BENGAL,CBSE
Bikash Bharati Blooms Day H S School Post Ghurhsalboni Midnapur Distt - West Bengal,WEST BENGAL,CBSE
Birla High School 1 Moira Street Calcutta - West Bengal,WEST BENGAL,CBSE
Birla High School 1 Moira Street Calcutta - West Bengal,WEST BENGAL,CBSE
Bodhicariya Senior Secondary School Maitree Nagar Chakpachuriya 24 Parganas(n) - West Bengal,WEST BENGAL,CBSE
Burnpur River Side School Burnpur Burdwan Distt - West Bengal,WEST BENGAL,CBSE
Caesar School Mal Post Mal Jalpaiguri Distt - West Bengal,WEST BENGAL,CBSE
Central Model School 23 River Side Road 24 Parganas (north) - West Bengal,WEST BENGAL,CBSE
Central School For Tibetans Bhanu Sarani Darjeeling - West Bengal,WEST BENGAL,CBSE
Central School For Tibetans Jagdamba Building Darjeeling - West Bengal,WEST BENGAL,CBSE
Central School For Tibetans Post Sonada Darjeeling - West Bengal,WEST BENGAL,CBSE
D A V Model School I I T Campus Kharagpur - West Bengal,WEST BENGAL,CBSE
D A V Model School J N Sengupta Road Burdwan - West Bengal,WEST BENGAL,CBSE
D A V Public School Daak Bunglow Road Midnapore - West Bengal,WEST BENGAL,CBSE
D A V Public School Hindustan Cables Ltd. Burdwan - West Bengal,WEST BENGAL,CBSE
Dav Public School 61 Diamond Calcutta - West Bengal,WEST BENGAL,CBSE
Dav Public School 61 Diamond Harbour Road Calcutta - West Bengal,WEST BENGAL,CBSE
Dav Public School Dvcmegia Thermal Power Station Bankura - West Bengal,WEST BENGAL,CBSE
Dav Public School Ecl Pandaveshwar Burdwan - West Bengal,WEST BENGAL,CBSE
Delhi Public School N T P C Farakka Murshidabad - West Bengal,WEST BENGAL,CBSE
Deshbandhu Vidyalaya (girls) C.l.w Chittaranjan Burdwan - West Bengal,WEST BENGAL,CBSE
Deshbandu Vidyalaya (boys) Chitranjan Burdwan - West Bengal,WEST BENGAL,CBSE
Durgapur Ispat Vidyalaya St Paul's Road Durgapur - West Bengal,WEST BENGAL,CBSE
Gobind Ram Kataruka Dav Public School Post Nadiara Purulia - West Bengal,WEST BENGAL,CBSE
Gurbachan Singh Sondhi Girls School 65 Pratapaditya Road Calcutta - West Bengal,WEST BENGAL,CBSE
Guru Teg Bahadur Public School Benachity Road Durgapur - West Bengal,WEST BENGAL,CBSE
Gyan Bharti School Post Raniganj Burdwan - West Bengal,WEST BENGAL,CBSE
Haryana Vidya Mandir Ba-193 Sector-1 Calcutta - West Bengal,WEST BENGAL,CBSE
Haryana Vidya Mandir Ba-193 Sector-1 Salt Lake City Calcutta - West Bengal,WEST BENGAL,CBSE
Haryana Vidya Mandir Ba-193 Sector-1 Salt Lake City Calcutta - West Bengal,WEST BENGAL,CBSE
Hindi Balika Vidyapith S.p.mukherjee Road Darjeeling - West Bengal,WEST BENGAL,CBSE
Indira Gandhi Memorial High School 456 P K Guha Road Calcutta - West Bengal,WEST BENGAL,CBSE
"Jawahar Navodaya Vidyalayas Banipur, North 24 Parganas - West Bengal",WEST BENGAL,CBSE
"Jawahar Navodaya Vidyalayas Berhampur, Murshidiabad - West Bengal",WEST BENGAL,CBSE
"Jawahar Navodaya Vidyalayas Chhabisay(mirik),p.o.rangbhang, Darjeeling - West Bengal",WEST BENGAL,CBSE
"Jawahar Navodaya Vidyalayas Kalyani Near Jln Memorial Hospital, Nadia - West Bengal",WEST BENGAL,CBSE
"Jawahar Navodaya Vidyalayas Ramanujam Primary School, Burdwan - West Bengal",WEST BENGAL,CBSE
Jermel's Academy 52 Rash Behari Darjeeling - West Bengal,WEST BENGAL,CBSE
Kalyani Public School Colonel's House Kolkatta - West Bengal,WEST BENGAL,CBSE
Kamal Jyoti Vidyapeeth East Main Road Darjeeling - West Bengal,WEST BENGAL,CBSE
Kanchrapara Harnett Eng. Medium School Foreman Colony Ist Avenue Post Kanchrapara - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya A F S Bagdogra Air Port Darjeeling - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya A F S Barrackpore Post Bengal Enamel Palta 24 Paragans - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Adra Post Adra Purulia Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Afs Salua Midnapur - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Alipurduar Junction Dt. Jalpanguri - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Andal Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Asansol Domohani Rly Colony Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Ballygunje Maidan Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Ballygunje Maidan Camp Circular Road Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Bemangachi Hawrah - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Berhampur Murshidabad - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Burdwan Ccc Complex (kalpatara) Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya C M E R I Colony Burdwan Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya C R P F Campus Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya C/o Army Station Head Qrs 24 Parganas Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Chittaranjan Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Command Hospital Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Command Hospital Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Cooch Behar - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Cossipore 4 Seven Tank Estate Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Cossipore 4 Seven Tank Estate Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya E B Block Sector-1 Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya E B Block Sector-1 Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Fort William Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Fort William Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Garden Reach Bunglow-15 Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Garden Reach Bunglow-15 Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Haldia Township Midnapore - West Bengal,WEST BENGAL,CBSE
"Kendriya Vidyalaya I I T ,kharagpur Midnapur - West Bengal",WEST BENGAL,CBSE
Kendriya Vidyalaya Indian Institute Of Management Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Indian Institute Of Management Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Kalimpong (durbin) Darjelling - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Kanikinara 24 Parganas - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Khaprail Darjeeling Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Krishna Nagar Via Toposi Burdwan - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Malda Post Maliha Malda Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya N T P C Farakka Malda Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 1 Bengdubi Darjeeling Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 1 Binnaguri Cantt Jalpaiguri Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 1 Kanchrapara 24 Parganas Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 1 Post Ishapore 24 Parganas (n) - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 A F S Kalai Kunda - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Binnaguri Cantt Jalpaiguri - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Hasimara Jalpaiguri Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Ishapore North West Bengal - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Kalaikunda A F S Midnapore Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Railway Settlement Kharagpur - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Salt Lake City Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya No 2 Salt Lake City Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Ordnance Factory Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Ordnance Factory Calcutta - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Post Lebong Distt Darjeeling - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Post Panagarh Burdwan Distt - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Post Salagura Sevek Road Jalpaiguri - West Bengal,WEST BENGAL,CBSE
"Kendriya Vidyalaya Raiganj , Bn Bsf Po Mirnal Uttar Dinajpur - West Bengal",WEST BENGAL,CBSE
Kendriya Vidyalaya Rbnm Salboni Paschim Midnapur - West Bengal,WEST BENGAL,CBSE
Kendriya Vidyalaya Santragachi Howrah - West Bengal,WEST BENGAL,CBSE
Khalsa Model Senior Secondary School 135 B T Road Calcutta - West Bengal,WEST BENGAL,CBSE
Khalsa Model Senior Secondary School 135 B T Road Calcutta - West Bengal,WEST BENGAL,CBSE
Lakshmipat Singhania Academy 12-b Alipur Road Calcutta - West Bengal,WEST BENGAL,CBSE
Lakshmipat Singhania Academy 12-b Alipur Road Calcutta - West Bengal,WEST BENGAL,CBSE
Mahadevi Birla Girls Higher Secondary School 17 A Darga Road Calcutta - West Bengal,WEST BENGAL,CBSE
Mahadevi Birla Girls Higher Secondary School 17 A Darga Road Calcutta - West Bengal,WEST BENGAL,CBSE
Modella Caretaker Center And School Village Jatiakali Ps Bhaktinagar Jalpaiguri - West Bengal,WEST BENGAL,CBSE
North Point Secondary School Gorakshabasi Mandir Complex Calcutta - West Bengal,WEST BENGAL,CBSE
Notre Dame Academy West Point Distt Darjeeling - West Bengal,WEST BENGAL,CBSE
Panisheola Indira Samriti Vidyapeeth Vill & Post Panishoola Hooghly - West Bengal,WEST BENGAL,CBSE
Priya Darshini Public School Kulti Burdwan - West Bengal,WEST BENGAL,CBSE
Raniganj Lions Jdm Chanani Dav Public School Lions Eye Hospital Road Raniganj Burdwan - West Bengal,WEST BENGAL,CBSE
Royal Academy Jamuna Lal Bajaj Street Khalpara Siliguri - West Bengal,WEST BENGAL,CBSE
S H M D School New Market Jaigaon Jalpaiguri - West Bengal,WEST BENGAL,CBSE
Sainik School Purulia Purulia Distt - West Bengal,WEST BENGAL,CBSE
Satya Narayan Academy Ramkrishna Nagar Bankura - West Bengal,WEST BENGAL,CBSE
Siliguri Model High School Mangal Vihar Darjling - West Bengal,WEST BENGAL,CBSE
Sudhir Memorial Institute Doltala Madhyamgram North 24pgs - West Bengal,WEST BENGAL,CBSE
The Assembly Of God Church School Ranchi Road Post & Purulia - West Bengal,WEST BENGAL,CBSE
The Assembly Of God Church School Ranchi Road Post & Purulia - West Bengal,WEST BENGAL,CBSE
The Atreyee English Medium School Mongalpur West Dinajpur Distt - West Bengal,WEST BENGAL,CBSE
The Good Shepherd Mission School 2-a Kenaram Ganguly Road Kolkata - West Bengal,WEST BENGAL,CBSE
Vivekanand Mission High School Vill Mechagram Post Uttar Mechagram Midnapur - West Bengal,WEST BENGAL,CBSE
